postcode,installations,output
2121,1507,6894.811
2122,1439,6296.939
2123,1,3.42
2124,6,147.085
2125,1567,7830.27
2126,1761,8132.539
2127,97,1771.715
2128,132,2445.21
2130,172,891.073
2131,506,2821.157
2132,418,2017.555
2133,395,1778.824
2134,340,1880.76
2135,899,5542.914
2136,321,2337.423
2137,939,4922.868
2138,440,2882.495
2140,202,1498.554
2141,1367,6578.308
2142,805,4616.904
2143,514,2774.492
2144,1222,7650.502
2145,4714,24559.558
2146,1352,5910.547
2147,3276,15927.307
2148,4915,26696.28
2150,289,2262.145
2151,967,5527.086
2152,582,2990.936
2153,5334,26145.283
2154,3268,17248.231
2155,7831,45351.893
2156,1480,10038.715
2157,393,3118.997
2158,679,5319.061
2159,476,3297.076
2160,1356,6713.589
2161,1485,8767.848
2162,1024,5683.84
2163,422,3197.959
2164,1778,17710.015
2165,2295,10969.56
2166,3003,13300.688
2167,963,4407.317
2168,3185,13789.176
2170,7596,44564.598
2171,3420,18268.723
2172,343,1844.754
2173,1275,5416.376
2174,1126,8032.855
2175,202,2873.073
2176,4062,19521.478
2177,1336,6178.294
2178,375,3932.579
2179,1379,9878.331
2190,1213,7665.755
2191,243,1108.645
2192,393,1786.099
2193,666,2987.225
2194,438,2289.366
2195,514,2574.141
2196,1312,6019.093
2197,548,2625.996
2198,494,2368.292
2199,887,4226.373
2200,1662,10807.332
2203,436,1769.447
2204,906,5872.451
2205,414,2233.487
2206,878,3846.874
2207,1096,5231.268
2208,652,4013.887
2209,857,3501.551
2210,1710,8672.501
2211,1009,6285.612
2212,965,6086.854
2213,1468,7169.648
2214,425,3052.514
2216,645,3272.93
2217,733,4045.773
2218,459,2119.79
2219,531,2861.334
2220,931,4604.621
2221,800,4496.592
2222,402,1861.635
2223,1050,5390.333
2224,707,4054.684
2225,336,1795.579
2226,852,3838.726
2227,694,3494.36
2228,833,4361.692
2229,1379,8860.184
2230,1314,7380.997
2231,225,1469.258
2232,1762,8832.212
2233,2122,10113.924
2234,2624,14443.409
2250,6355,36477.632
2251,3143,14652.552
2256,1435,6627.754
2257,2459,11327.769
2258,532,3141.508
2259,8102,40488.688
2260,2141,11061.223
2261,4460,21760.024
2262,2367,11028.876
2263,2579,11667.548
2264,2200,10433.975
2265,1095,5773.637
2267,354,1707.801
2278,375,1870.163
2280,2845,13329.624
2281,1723,8731.953
2282,1751,8750.637
2283,2955,13824.458
2284,1483,7678.626
2285,3576,18875.652
2286,513,2580.71
2287,4033,19343.326
2289,1589,7651.701
2290,3007,15210.489
2291,1066,5259.352
2292,216,1395.273
2293,193,1114.545
2294,113,848.111
2295,772,3570.653
2296,147,668.33
2297,180,705.312
2298,657,2899.569
2299,842,4101.29
2300,488,3046.754
2302,20,495.48
2303,733,3519.238
2304,1270,7133.859
2305,1115,5008.16
2306,77,447.385
2307,326,1338.283
2308,4,111.255
2311,155,868.865
2312,252,1254.729
2315,1879,8281.649
2316,970,4779.78
2317,865,4320.304
2318,2011,11478.803
2319,982,4221.009
2320,4557,30745.152
2321,2439,14468.801
2322,3112,18996.551
2323,2894,14590.869
2324,3938,18662.772
2325,3540,19642.363
2326,1037,5424.438
2327,847,4620.88
2328,311,2154.209
2329,286,1785.296
2330,2670,17170.845
2333,1376,8575.953
2334,410,2360.72
2335,1027,6654.602
2336,350,2207.523
2337,881,6046.008
2338,236,1431.77
2339,107,521.47
2340,6008,35002.558
