Postcode,Average_total,Average_salary
2844,79505,47893
2845,84193,71626
2846,72398,54928
2847,82288,70195
2848,75008,59612
2849,85394,64277
2850,89687,70148
2852,83811,70912
2864,77149,60105
2865,76166,57665
2866,86386,56049
2867,76321,44847
2868,68725,44761
2869,69066,48280
2870,80876,62125
2871,78516,54104
2873,66337,40169
2874,71693,39286
2875,62822,40372
2876,55504,43442
2877,73987,51405
2878,82101,37351
2879,79964,55583
2880,83334,66264
2898,86675,53041
2899,69617,49239
2900,91742,72615
2901,97149,65413
2902,92849,69812
2903,92814,70122
2904,98646,71433
2905,89589,72580
2906,90417,75418
2911,98426,83691
2912,84847,74184
2913,93313,77244
2914,93577,83521
3000,97057,62466
3001,297764,70309
3002,242339,82060
3003,90262,73068
3004,165810,76767
3006,99996,77920
3008,97493,77803
3010,146728,117470
3011,83079,68928
3012,84190,69717
3013,104480,83530
3015,104941,83721
3016,124624,82169
3018,97092,72918
3019,70853,58099
3020,71978,58033
3021,69053,54943
3022,75785,61509
3023,80429,65445
3024,78529,66743
3025,87249,66916
3026,93053,70661
3027,84527,71902
3028,78952,65061
3029,76397,63924
3030,85254,69587
3031,96946,78053
3032,97111,74785
3033,91805,67373
3034,89473,63090
3036,101814,64222
3037,80670,65984
3038,84238,65007
3039,108637,77197
3040,111612,74962
3041,104614,72797
3042,90672,69277
3043,81607,63753
3044,91301,70577
3046,79039,63615
3047,66619,51885
3048,67382,51002
3049,82100,64616
3051,93281,72468
3052,98743,72253
3053,93208,65939
3054,117819,74561
3055,89720,70815
3056,90431,71563
3057,90453,72730
3058,87155,68613
3059,88099,64918
3060,75038,58613
3061,72693,50053
3062,106890,49949
3063,70484,68877
3064,74607,61344
3065,111609,77535
3066,97889,76601
3067,98445,76100
3068,118237,81423
3070,103884,77532
3071,91979,70551
3072,84532,66899
3073,77726,60952
3074,72251,56223
3075,74284,57399
3076,74852,60861
3078,110622,77084
3079,128005,79762
3081,78862,62711
3082,77747,63143
3083,79880,61997
3084,106109,73130
3085,94087,73384
3086,115462,92695
3087,86067,68370
3088,89433,69235
3089,97927,72391
3090,130535,71301
3091,115818,60587
3093,122774,68181
3094,91451,69264
3095,102942,73941
3096,89700,65120
3097,112263,66581
3099,93766,64877
3101,150788,79184
3102,124078,76229
3103,133210,69388
3104,123462,68074
3105,97330,64372
3106,116987,64673
3107,94797,64977
3108,93435,59294
3109,89600,63538
3111,109656,66593
3113,113188,70201
3114,131971,75124
3115,117729,67825
3116,89336,65071
3121,109985,83448
3122,151657,82190
3123,135889,80818
3124,140022,79165
3125,91100,64875
3126,185533,83232
3127,134003,82555
3128,84300,64724
3129,95220,69867
3130,97556,69996
3131,86837,67034
3132,91990,70510
3133,90527,65925
3134,91801,68157
3135,87601,67956
3136,85406,66038
3137,81418,61873
3138,81397,64555
3139,81007,57918
3140,84899,62573
3141,144869,81769
3142,276701,75501
3143,149207,80434
3144,176995,80700
3145,136830,80639
3146,136898,85005
3147,114254,79224
3148,86353,66913
3149,95303,66366
3150,95267,63683
3151,84182,62482
3152,85597,65154
3153,78028,62774
3154,83118,63672
