postcode,zone,rating,annual_prod,rebate
2010,3.0,1.382,9.1,3185.0
2011,3.0,1.382,9.1,3185.0
2012,3.0,1.382,9.1,3185.0
2013,3.0,1.382,9.1,3185.0
2015,3.0,1.382,9.1,3185.0
2016,3.0,1.382,9.1,3185.0
2017,3.0,1.382,9.1,3185.0
2018,3.0,1.382,9.1,3185.0
2019,3.0,1.382,9.1,3185.0
2020,3.0,1.382,9.1,3185.0
2021,3.0,1.382,9.1,3185.0
2022,3.0,1.382,9.1,3185.0
2023,3.0,1.382,9.1,3185.0
2024,3.0,1.382,9.1,3185.0
2025,3.0,1.382,9.1,3185.0
2026,3.0,1.382,9.1,3185.0
2027,3.0,1.382,9.1,3185.0
2028,3.0,1.382,9.1,3185.0
2029,3.0,1.382,9.1,3185.0
2030,3.0,1.382,9.1,3185.0
2031,3.0,1.382,9.1,3185.0
2032,3.0,1.382,9.1,3185.0
2033,3.0,1.382,9.1,3185.0
2034,3.0,1.382,9.1,3185.0
2035,3.0,1.382,9.1,3185.0
2036,3.0,1.382,9.1,3185.0
2037,3.0,1.382,9.1,3185.0
2038,3.0,1.382,9.1,3185.0
2039,3.0,1.382,9.1,3185.0
2040,3.0,1.382,9.1,3185.0
2041,3.0,1.382,9.1,3185.0
2042,3.0,1.382,9.1,3185.0
2043,3.0,1.382,9.1,3185.0
2044,3.0,1.382,9.1,3185.0
2045,3.0,1.382,9.1,3185.0
2046,3.0,1.382,9.1,3185.0
2047,3.0,1.382,9.1,3185.0
2048,3.0,1.382,9.1,3185.0
2049,3.0,1.382,9.1,3185.0
2050,3.0,1.382,9.1,3185.0
2052,3.0,1.382,9.1,3185.0
2055,3.0,1.382,9.1,3185.0
2057,3.0,1.382,9.1,3185.0
2058,3.0,1.382,9.1,3185.0
2059,3.0,1.382,9.1,3185.0
2060,3.0,1.382,9.1,3185.0
2061,3.0,1.382,9.1,3185.0
2062,3.0,1.382,9.1,3185.0
2063,3.0,1.382,9.1,3185.0
2064,3.0,1.382,9.1,3185.0
2065,3.0,1.382,9.1,3185.0
2066,3.0,1.382,9.1,3185.0
2067,3.0,1.382,9.1,3185.0
2068,3.0,1.382,9.1,3185.0
2069,3.0,1.382,9.1,3185.0
2070,3.0,1.382,9.1,3185.0
2071,3.0,1.382,9.1,3185.0
2072,3.0,1.382,9.1,3185.0
2073,3.0,1.382,9.1,3185.0
2074,3.0,1.382,9.1,3185.0
2075,3.0,1.382,9.1,3185.0
2076,3.0,1.382,9.1,3185.0
2077,3.0,1.382,9.1,3185.0
2079,3.0,1.382,9.1,3185.0
2080,3.0,1.382,9.1,3185.0
2081,3.0,1.382,9.1,3185.0
2082,3.0,1.382,9.1,3185.0
2083,3.0,1.382,9.1,3185.0
2084,3.0,1.382,9.1,3185.0
2085,3.0,1.382,9.1,3185.0
2086,3.0,1.382,9.1,3185.0
2087,3.0,1.382,9.1,3185.0
2088,3.0,1.382,9.1,3185.0
2089,3.0,1.382,9.1,3185.0
2090,3.0,1.382,9.1,3185.0
2091,3.0,1.382,9.1,3185.0
2092,3.0,1.382,9.1,3185.0
2093,3.0,1.382,9.1,3185.0
2094,3.0,1.382,9.1,3185.0
2095,3.0,1.382,9.1,3185.0
2096,3.0,1.382,9.1,3185.0
2097,3.0,1.382,9.1,3185.0
2099,3.0,1.382,9.1,3185.0
2100,3.0,1.382,9.1,3185.0
2101,3.0,1.382,9.1,3185.0
2102,3.0,1.382,9.1,3185.0
2103,3.0,1.382,9.1,3185.0
2104,3.0,1.382,9.1,3185.0
2105,3.0,1.382,9.1,3185.0
2106,3.0,1.382,9.1,3185.0
2107,3.0,1.382,9.1,3185.0
2108,3.0,1.382,9.1,3185.0
2109,3.0,1.382,9.1,3185.0
2110,3.0,1.382,9.1,3185.0
2111,3.0,1.382,9.1,3185.0
2112,3.0,1.382,9.1,3185.0
2113,3.0,1.382,9.1,3185.0
2114,3.0,1.382,9.1,3185.0
2115,3.0,1.382,9.1,3185.0
2116,3.0,1.382,9.1,3185.0
2117,3.0,1.382,9.1,3185.0
2118,3.0,1.382,9.1,3185.0
2119,3.0,1.382,9.1,3185.0
2120,3.0,1.382,9.1,3185.0
2121,3.0,1.382,9.1,3185.0
2122,3.0,1.382,9.1,3185.0
2123,3.0,1.382,9.1,3185.0
2124,3.0,1.382,9.1,3185.0
2125,3.0,1.382,9.1,3185.0
2126,3.0,1.382,9.1,3185.0
2127,3.0,1.382,9.1,3185.0
2128,3.0,1.382,9.1,3185.0
2129,3.0,1.382,9.1,3185.0
2130,3.0,1.382,9.1,3185.0
2131,3.0,1.382,9.1,3185.0
2132,3.0,1.382,9.1,3185.0
2133,3.0,1.382,9.1,3185.0
2134,3.0,1.382,9.1,3185.0
2135,3.0,1.382,9.1,3185.0
2136,3.0,1.382,9.1,3185.0
2137,3.0,1.382,9.1,3185.0
2138,3.0,1.382,9.1,3185.0
2139,3.0,1.382,9.1,3185.0
2140,3.0,1.382,9.1,3185.0
2141,3.0,1.382,9.1,3185.0
2142,3.0,1.382,9.1,3185.0
2143,3.0,1.382,9.1,3185.0
2144,3.0,1.382,9.1,3185.0
2145,3.0,1.382,9.1,3185.0
2146,3.0,1.382,9.1,3185.0
2147,3.0,1.382,9.1,3185.0
2148,3.0,1.382,9.1,3185.0
2150,3.0,1.382,9.1,3185.0
2151,3.0,1.382,9.1,3185.0
2152,3.0,1.382,9.1,3185.0
2153,3.0,1.382,9.1,3185.0
2154,3.0,1.382,9.1,3185.0
2155,3.0,1.382,9.1,3185.0
2156,3.0,1.382,9.1,3185.0
2157,3.0,1.382,9.1,3185.0
2158,3.0,1.382,9.1,3185.0
2159,3.0,1.382,9.1,3185.0
2160,3.0,1.382,9.1,3185.0
2161,3.0,1.382,9.1,3185.0
2162,3.0,1.382,9.1,3185.0
2163,3.0,1.382,9.1,3185.0
2164,3.0,1.382,9.1,3185.0
2165,3.0,1.382,9.1,3185.0
2166,3.0,1.382,9.1,3185.0
2167,3.0,1.382,9.1,3185.0
2168,3.0,1.382,9.1,3185.0
2170,3.0,1.382,9.1,3185.0
2171,3.0,1.382,9.1,3185.0
2172,3.0,1.382,9.1,3185.0
2173,3.0,1.382,9.1,3185.0
2174,3.0,1.382,9.1,3185.0
2175,3.0,1.382,9.1,3185.0
2176,3.0,1.382,9.1,3185.0
2177,3.0,1.382,9.1,3185.0
2178,3.0,1.382,9.1,3185.0
2179,3.0,1.382,9.1,3185.0
2190,3.0,1.382,9.1,3185.0
2191,3.0,1.382,9.1,3185.0
2192,3.0,1.382,9.1,3185.0
2193,3.0,1.382,9.1,3185.0
2194,3.0,1.382,9.1,3185.0
2195,3.0,1.382,9.1,3185.0
2196,3.0,1.382,9.1,3185.0
2197,3.0,1.382,9.1,3185.0
2198,3.0,1.382,9.1,3185.0
2199,3.0,1.382,9.1,3185.0
2200,3.0,1.382,9.1,3185.0
2203,3.0,1.382,9.1,3185.0
2204,3.0,1.382,9.1,3185.0
2205,3.0,1.382,9.1,3185.0
2206,3.0,1.382,9.1,3185.0
2207,3.0,1.382,9.1,3185.0
2208,3.0,1.382,9.1,3185.0
2209,3.0,1.382,9.1,3185.0
2210,3.0,1.382,9.1,3185.0
2211,3.0,1.382,9.1,3185.0
2212,3.0,1.382,9.1,3185.0
2213,3.0,1.382,9.1,3185.0
2214,3.0,1.382,9.1,3185.0
2216,3.0,1.382,9.1,3185.0
2217,3.0,1.382,9.1,3185.0
2218,3.0,1.382,9.1,3185.0
2219,3.0,1.382,9.1,3185.0
2220,3.0,1.382,9.1,3185.0
2221,3.0,1.382,9.1,3185.0
2222,3.0,1.382,9.1,3185.0
2223,3.0,1.382,9.1,3185.0
2224,3.0,1.382,9.1,3185.0
2225,3.0,1.382,9.1,3185.0
2226,3.0,1.382,9.1,3185.0
2227,3.0,1.382,9.1,3185.0
2228,3.0,1.382,9.1,3185.0
2229,3.0,1.382,9.1,3185.0
2230,3.0,1.382,9.1,3185.0
2231,3.0,1.382,9.1,3185.0
2232,3.0,1.382,9.1,3185.0
2233,3.0,1.382,9.1,3185.0
2234,3.0,1.382,9.1,3185.0
2250,3.0,1.382,9.1,3185.0
2251,3.0,1.382,9.1,3185.0
2252,3.0,1.382,9.1,3185.0
2256,3.0,1.382,9.1,3185.0
2257,3.0,1.382,9.1,3185.0
2258,3.0,1.382,9.1,3185.0
2259,3.0,1.382,9.1,3185.0
2260,3.0,1.382,9.1,3185.0
2261,3.0,1.382,9.1,3185.0
2262,3.0,1.382,9.1,3185.0
2263,3.0,1.382,9.1,3185.0
2264,3.0,1.382,9.1,3185.0
2265,3.0,1.382,9.1,3185.0
2267,3.0,1.382,9.1,3185.0
2278,3.0,1.382,9.1,3185.0
2280,3.0,1.382,9.1,3185.0
2281,3.0,1.382,9.1,3185.0
2282,3.0,1.382,9.1,3185.0
2283,3.0,1.382,9.1,3185.0
2284,3.0,1.382,9.1,3185.0
2285,3.0,1.382,9.1,3185.0
2286,3.0,1.382,9.1,3185.0
2287,3.0,1.382,9.1,3185.0
2289,3.0,1.382,9.1,3185.0
2290,3.0,1.382,9.1,3185.0
2291,3.0,1.382,9.1,3185.0
2292,3.0,1.382,9.1,3185.0
2293,3.0,1.382,9.1,3185.0
2294,3.0,1.382,9.1,3185.0
2295,3.0,1.382,9.1,3185.0
2296,3.0,1.382,9.1,3185.0
2297,3.0,1.382,9.1,3185.0
2298,3.0,1.382,9.1,3185.0
2299,3.0,1.382,9.1,3185.0
2300,3.0,1.382,9.1,3185.0
2302,3.0,1.382,9.1,3185.0
2303,3.0,1.382,9.1,3185.0
2304,3.0,1.382,9.1,3185.0
2305,3.0,1.382,9.1,3185.0
2306,3.0,1.382,9.1,3185.0
2307,3.0,1.382,9.1,3185.0
2308,3.0,1.382,9.1,3185.0
2309,3.0,1.382,9.1,3185.0
2310,3.0,1.382,9.1,3185.0
2311,3.0,1.382,9.1,3185.0
2312,3.0,1.382,9.1,3185.0
2314,3.0,1.382,9.1,3185.0
2315,3.0,1.382,9.1,3185.0
2316,3.0,1.382,9.1,3185.0
2317,3.0,1.382,9.1,3185.0
2318,3.0,1.382,9.1,3185.0
2319,3.0,1.382,9.1,3185.0
2320,3.0,1.382,9.1,3185.0
2321,3.0,1.382,9.1,3185.0
2322,3.0,1.382,9.1,3185.0
2323,3.0,1.382,9.1,3185.0
2324,3.0,1.382,9.1,3185.0
2325,3.0,1.382,9.1,3185.0
2326,3.0,1.382,9.1,3185.0
2327,3.0,1.382,9.1,3185.0
2328,3.0,1.382,9.1,3185.0
2329,3.0,1.382,9.1,3185.0
2330,3.0,1.382,9.1,3185.0
2331,3.0,1.382,9.1,3185.0
2333,3.0,1.382,9.1,3185.0
2334,3.0,1.382,9.1,3185.0
2335,3.0,1.382,9.1,3185.0
2336,3.0,1.382,9.1,3185.0
2337,3.0,1.382,9.1,3185.0
2338,3.0,1.382,9.1,3185.0
2339,3.0,1.382,9.1,3185.0
2340,3.0,1.382,9.1,3185.0
2341,3.0,1.382,9.1,3185.0
2342,3.0,1.382,9.1,3185.0
2343,3.0,1.382,9.1,3185.0
2344,3.0,1.382,9.1,3185.0
2345,3.0,1.382,9.1,3185.0
2346,3.0,1.382,9.1,3185.0
2347,3.0,1.382,9.1,3185.0
2348,3.0,1.382,9.1,3185.0
2350,3.0,1.382,9.1,3185.0
2351,3.0,1.382,9.1,3185.0
2352,3.0,1.382,9.1,3185.0
2353,3.0,1.382,9.1,3185.0
2354,3.0,1.382,9.1,3185.0
2355,3.0,1.382,9.1,3185.0
2356,2.0,1.536,10.1,3535.0
2357,2.0,1.536,10.1,3535.0
2358,3.0,1.382,9.1,3185.0
2359,3.0,1.382,9.1,3185.0
2360,3.0,1.382,9.1,3185.0
2361,3.0,1.382,9.1,3185.0
2365,3.0,1.382,9.1,3185.0
2369,3.0,1.382,9.1,3185.0
2370,3.0,1.382,9.1,3185.0
2371,3.0,1.382,9.1,3185.0
2372,3.0,1.382,9.1,3185.0
2379,3.0,1.382,9.1,3185.0
2380,3.0,1.382,9.1,3185.0
2381,3.0,1.382,9.1,3185.0
2382,3.0,1.382,9.1,3185.0
2386,2.0,1.536,10.1,3535.0
2387,2.0,1.536,10.1,3535.0
2388,2.0,1.536,10.1,3535.0
2390,3.0,1.382,9.1,3185.0
2395,3.0,1.382,9.1,3185.0
2396,2.0,1.536,10.1,3535.0
2397,2.0,1.536,10.1,3535.0
2398,3.0,1.382,9.1,3185.0
2399,3.0,1.382,9.1,3185.0
2400,2.0,1.536,10.1,3535.0
2401,3.0,1.382,9.1,3185.0
2402,3.0,1.382,9.1,3185.0
2403,3.0,1.382,9.1,3185.0
2404,3.0,1.382,9.1,3185.0
2405,2.0,1.536,10.1,3535.0
2406,2.0,1.536,10.1,3535.0
2408,3.0,1.382,9.1,3185.0
2409,3.0,1.382,9.1,3185.0
2410,3.0,1.382,9.1,3185.0
2411,3.0,1.382,9.1,3185.0
2415,3.0,1.382,9.1,3185.0
2420,3.0,1.382,9.1,3185.0
2421,3.0,1.382,9.1,3185.0
2422,3.0,1.382,9.1,3185.0
2423,3.0,1.382,9.1,3185.0
2424,3.0,1.382,9.1,3185.0
2425,3.0,1.382,9.1,3185.0
2426,3.0,1.382,9.1,3185.0
2427,3.0,1.382,9.1,3185.0
2428,3.0,1.382,9.1,3185.0
2429,3.0,1.382,9.1,3185.0
2430,3.0,1.382,9.1,3185.0
2431,3.0,1.382,9.1,3185.0
2439,3.0,1.382,9.1,3185.0
2440,3.0,1.382,9.1,3185.0
2441,3.0,1.382,9.1,3185.0
2442,3.0,1.382,9.1,3185.0
2443,3.0,1.382,9.1,3185.0
2444,3.0,1.382,9.1,3185.0
2445,3.0,1.382,9.1,3185.0
2446,3.0,1.382,9.1,3185.0
2447,3.0,1.382,9.1,3185.0
2448,3.0,1.382,9.1,3185.0
2449,3.0,1.382,9.1,3185.0
