Postcode,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,AVG,Total
2023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,17.0,19.0,8.0,11.0,17.0,14.0,23.0,18.0,33.0,26.0,38.0,15.0,11.761904761904763,247.0
2024.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,8.0,7.0,62.0,26.0,14.0,10.0,15.0,27.0,20.0,34.0,38.0,47.0,50.0,21.0,18.285714285714285,384.0
2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,10.0,20.0,3.0,2.0,5.0,8.0,8.0,9.0,14.0,19.0,19.0,6.0,6.190476190476191,130.0
2026.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,21.0,62.0,57.0,28.0,14.0,33.0,30.0,34.0,40.0,46.0,59.0,91.0,49.0,27.19047619047619,571.0
2027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,6.0,1.0,4.0,7.0,8.0,8.0,5.0,5.0,11.0,11.0,2.0,3.7142857142857144,78.0
2028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,3.0,0.0,3.0,1.0,3.0,4.0,3.0,10.0,9.0,9.0,6.0,3.0,63.0
2029.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,15.0,16.0,5.0,6.0,8.0,18.0,11.0,10.0,19.0,16.0,31.0,15.0,8.476190476190476,178.0
2030.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,33.0,38.0,18.0,23.0,24.0,36.0,23.0,37.0,43.0,44.0,82.0,24.0,20.714285714285715,435.0
2031.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,19.0,89.0,99.0,32.0,20.0,29.0,33.0,33.0,41.0,67.0,74.0,106.0,49.0,33.333333333333336,700.0
2032.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,49.0,48.0,22.0,12.0,12.0,22.0,11.0,23.0,51.0,45.0,45.0,23.0,17.666666666666668,371.0
2033.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,20.0,28.0,14.0,6.0,7.0,16.0,9.0,10.0,23.0,18.0,26.0,17.0,9.666666666666666,203.0
2034.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,5.0,60.0,53.0,13.0,21.0,17.0,25.0,16.0,28.0,65.0,54.0,68.0,37.0,22.333333333333332,469.0
2035.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,31.0,148.0,143.0,86.0,36.0,51.0,58.0,35.0,57.0,137.0,87.0,173.0,90.0,54.142857142857146,1137.0
2036.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,23.0,129.0,135.0,98.0,40.0,63.0,72.0,45.0,53.0,118.0,117.0,173.0,124.0,57.142857142857146,1200.0
2037.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,36.0,31.0,10.0,10.0,27.0,13.0,15.0,27.0,26.0,19.0,29.0,23.0,13.285714285714286,279.0
2038.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,4.0,7.0,46.0,31.0,14.0,7.0,22.0,21.0,21.0,23.0,39.0,40.0,51.0,17.0,16.61904761904762,349.0
2039.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,39.0,38.0,7.0,10.0,14.0,14.0,7.0,20.0,32.0,24.0,31.0,13.0,12.095238095238095,254.0
2040.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,20.0,97.0,94.0,53.0,34.0,56.0,43.0,48.0,50.0,81.0,80.0,119.0,54.0,40.04761904761905,841.0
2041.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,10.0,58.0,43.0,22.0,25.0,31.0,32.0,23.0,29.0,49.0,48.0,58.0,33.0,22.571428571428573,474.0
2042.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,9.0,16.0,64.0,56.0,26.0,25.0,28.0,33.0,34.0,40.0,45.0,49.0,70.0,23.0,24.904761904761905,523.0
