Postcode,Installation,Output
4490,0,0
4491,0,0
4492,1,6.12
4493,0,0
4494,0,0
4496,0,0
4497,0,0
4498,0,0
4500,2,0.285
4501,1,0.08
4502,0,0
4503,1,0.16
4504,0,0
4505,1,0.125
4506,1,0.16
4507,0,0
4508,2,0.16
4509,1,0.14
4510,1,0.125
4511,0,0
4512,0,0
4514,2,0.39
4515,0,0
4516,0,0
4517,0,0
4518,0,0
4519,1,2.8
4520,1,0.08
4521,1,1.8
4550,0,0
4551,0,0
4552,4,5.68
4553,0,0
4554,1,1.92
4555,0,0
4556,1,0.16
4557,0,0
4558,0,0
4559,0,0
4560,4,5.46
4561,3,4.975
4562,3,3.085
4563,1,0.68
4564,0,0
4565,2,2.4
4566,0,0
4567,0,0
4568,1,0.77
4569,2,2.075
4570,9,19.867
4571,0,0
4572,0,0
4573,1,3.13
4574,0,0
4575,0,0
4580,0,0
4581,6,21.89
4600,0,0
4601,1,0.738
4605,0,0
4606,0,0
4608,0,0
4610,1,0.99
4611,0,0
4612,0,0
4613,0,0
4614,0,0
4615,2,2.343
4620,1,1.6
4621,3,3.408
4625,0,0
4626,0,0
4627,1,0.64
4630,0,0
4650,3,4.32
4655,4,12.66
4659,1,0.8
4660,1,1.28
4662,0,0
4670,0,0
4671,1,1.485
4673,0,0
4674,8,11.482
4676,6,9.64
4677,5,6.512
4678,1,3.84
4680,14,15.452
4694,0,0
4695,1,0.195
4697,0,0
4699,0,0
4700,3,0.74
4701,2,0.41
4702,11,7.903
4703,1,1.05
4704,1,0.32
4705,4,1.535
4706,0,0
4707,1,0.225
4709,0,0
4710,0,0
4711,0,0
4712,1,0.225
4713,0,0
4714,1,0.08
4715,2,1.92
4716,0,0
4717,0,0
4718,2,1.44
4719,0,0
4720,1,1.04
4721,4,3.04
4722,2,1.045
4723,1,0.325
4724,2,1.58
4725,2,0.725
4726,0,0
4727,0,0
4728,0,0
4730,0,0
4731,0,0
4732,0,0
4733,0,0
4735,0,0
4736,0,0
4737,3,1.125
4738,1,2.59
4739,0,0
4740,11,1.11
4741,2,2.625
4742,1,0.16
4743,0,0
4744,1,0.14
4745,0,0
4746,1,0.26
4750,0,0
4751,0,0
4753,1,0.08
4754,0,0
4756,0,0
4757,0,0
4798,0,0
4799,0,0
4800,0,0
4802,1,0.125
4803,0,0
4804,1,0.3
4805,0,0
4806,0,0
4807,0,0
4808,0,0
4809,0,0
4810,2,3.26
4811,0,0
4812,0,0
4814,0,0
4815,0,0
4816,3,3.51
4817,0,0
4818,0,0
4819,1,0.8
4820,2,1.8
4821,0,0
4822,0,0
4823,1,1.28
4824,5,2.145
4825,0,0
4828,0,0
4829,4,11.99
4830,0,0
4849,0,0
4850,1,2.24
4852,1,0.08
4854,1,0.5
4855,1,0.64
4856,0,0
4857,0,0
4858,0,0
4859,0,0
4860,0,0
4861,1,2.31
4865,2,1.52
4868,3,0.845
4869,2,2.1
4870,5,0.64
4871,9,11.826
4872,2,3.048
4873,13,14.622
4874,0,0
4875,1,1.6
4876,0,0
4877,0,0
4878,2,0.8
4879,5,0.96
4880,0,0
4881,0,0
4882,0,0
4883,0,0
4884,0,0
4885,1,0.16
4886,1,0.32
4887,0,0
4888,0,0
4890,0,0
4891,0,0
4892,0,0
4895,1,0.23
5000,1,1.65
