Postcode,Installation_2001,Output_2001,Installation_2002,Output_2002,Installation_2003,Output_2003,Installation_2004,Output_2004,Installation_2005,Output_2005,Installation_2006,Output_2006,Installation_2007,Output_2007,Installation_2008,Output_2008,Installation_2009,Output_2009,Installation_2010,Output_2010,Installation_2011,Output_2011,Installation_2012,Output_2012,Installation_2013,Output_2013,Installation_2014,Output_2014,Installation_2015,Output_2015,Installation_2016,Output_2016,Installation_2017,Output_2017,Installation_2018,Output_2018,Installation_2019,Output_2019,Installation_2020,Output_2020,Installation_2021,Output_2021
828,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.02,0.0,0.0,1.0,9.88,1.0,15.12,6.0,72.79,7.0,196.61,9.0,181.86,25.0,275.81,32.0,447.996,28.0,498.995,54.0,640.375,54,882.705,22,274.28
829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.95,1.0,4.5,8.0,201.59,3.0,102.85,4.0,128.545,7.0,265.79,8,154.155,2,18.5
830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.19,26.0,40.3,61.0,99.003,53.0,132.715,52.0,193.025,101.0,411.68,96.0,419.26,91.0,796.81,166.0,858.309,180.0,1106.699,288.0,2093.058,444.0,3226.205,333,2585.125,44,342.745
831,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.12,1.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.15,1.0,3.24,0.0,0.0,1.0,3.92,0.0,0.0,1.0,4.5,1.0,6.095,0.0,0.0,1.0,6.555,0.0,0.0,0,0.0,0,0.0
832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.97,9.0,12.2,35.0,51.029,32.0,83.61,38.0,140.27,90.0,352.355,69.0,302.165,74.0,323.36,252.0,1355.111,320.0,1946.518,406.0,2811.003,514.0,3356.448,363,2404.37,51,344.725
834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.95,13.0,52.4,16.0,74.045,15.0,100.485,16.0,92.015,32.0,220.071,34.0,262.061,47.0,363.885,48,421.615,9,95.355
835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.57,6.0,9.88,26.0,62.695,17.0,60.95,22.0,82.985,34.0,163.935,24.0,117.315,27.0,235.681,29.0,136.185,50.0,345.36,59.0,424.417,86.0,707.075,99,830.46,12,78.68
836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.8,0.0,0.0,0.0,0.0,5.0,6.19,16.0,25.392,33.0,59.355,21.0,74.88,48.0,213.845,67.0,372.208,87.0,456.785,48.0,272.295,82.0,532.707,105.0,730.726,178.0,1378.908,255.0,2120.195,193,1552.29,30,247.495
837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.04,0.0,0.0,1.0,1.5,1.0,3.0,6.0,29.0,5.0,24.96,0.0,0.0,9.0,92.27,5.0,37.285,9.0,68.186,11.0,116.69,12,199.59,2,18.49
838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,2.0,2.04,6.0,10.375,2.0,4.44,3.0,14.25,5.0,21.355,9.0,45.095,5.0,79.86,7.0,45.005,12.0,81.232,13.0,105.635,27.0,211.6,25,268.315,3,53.0
839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.505,2.0,101.615,4.0,36.74,8.0,177.16,6,104.505,1,6.6
840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.56,0.0,0.0,0.0,0.0,2.0,2.54,0.0,0.0,2.0,9.63,6.0,30.94,6.0,28.505,5.0,27.05,19.0,98.14,12.0,63.21,12.0,87.04,29.0,209.775,15,112.895,3,17.72
